"ID";"segment";"N_syllables"
215014103;3;37
215014103;5;13
215014103;7;20
215014103;9;33
215014103;11;25
215014103;13;32
215014103;15;18
215014103;17;18
215014103;19;21
215014103;21;11
215014103;23;23
215014103;25;18
215014103;27;10
215014103;29;14
215014103;31;32
215014103;33;6
215014103;35;11
215014103;37;5
215014103;39;5
215014103;41;10
215014103;43;10
215014103;45;21
215014103;47;14
215014103;49;10
215014103;51;13
215014103;53;15
215014103;55;18
215014103;57;20
215014103;59;27
215014103;62;9
215014103;64;44
215014103;67;15
215014103;69;23
215014103;71;16
215014103;73;34
215014103;75;35
215014103;77;16
215014103;79;16
215014103;81;28
215014103;83;32
215014103;85;13
215014103;87;15
215014103;89;14
215014103;91;23
215014103;93;10
215014103;95;21
215014103;97;22
215014103;99;16
215014103;101;11
215014103;103;10
215014103;106;11
215014103;108;16
215014103;110;7
215014103;113;8
215014103;116;9
215014103;2;39
215014103;4;54
215014103;6;26
215014103;8;26
215014103;10;20
215014103;12;10
215014103;14;53
215014103;16;22
215014103;18;15
215014103;20;36
215014103;22;31
215014103;24;12
215014103;26;31
215014103;28;19
215014103;30;11
215014103;32;11
215014103;34;13
215014103;38;14
215014103;40;30
215014103;42;13
215014103;44;17
215014103;46;30
215014103;48;20
215014103;50;24
215014103;52;22
215014103;54;28
215014103;56;18
215014103;58;11
215014103;61;12
215014103;63;9
215014103;65;20
215014103;68;22
215014103;70;25
215014103;72;18
215014103;74;28
215014103;76;14
215014103;78;23
215014103;80;11
215014103;82;10
215014103;84;17
215014103;86;21
215014103;88;9
215014103;90;6
215014103;92;9
215014103;94;13
215014103;96;8
215014103;98;10
215014103;100;10
215014103;102;28
215014103;105;32
215014103;107;9
215014103;109;12
215014103;112;16
215014103;115;25
