pitch_patient_6829-68769_1580-141083;nr; start; end; median; min; max; 5%quantile; 95%quantile
pitch_patient_6829-68769_1580-141083;1;0;11.401419623986683;191.99564551124126;155.72719369215196;343.24787396685315;164.48069429409335;236.97117539725312
pitch_patient_6829-68769_1580-141083;3;19.31336206032862;28.1278183462268;186.1716789355421;154.91037871609274;273.0348546033715;163.82649339005445;228.67038149785026
pitch_patient_6829-68769_1580-141083;5;37.65762943071107;40.335246792940495;179.68809387701276;154.2278182781955;247.3989270822137;161.05103278876942;232.23167361758001
pitch_patient_6829-68769_1580-141083;7;45.819473887828245;49.778932480544555;196.8314835048575;152.2595531557369;250.78484776591506;158.960073178181;238.57531589203703
pitch_patient_6829-68769_1580-141083;9;55.6824714181486;62.33619758436894;190.9625204190598;157.82236406748686;257.7897549417329;162.58236956549942;230.63922323506043
pitch_patient_6829-68769_1580-141083;11;65.98076838817431;71.94808719506567;222.84603733126357;159.5323150965652;299.24695060098657;170.8271959300979;270.12450756866536
pitch_patient_6829-68769_1580-141083;13;73.96689625887899;80.89520510311982;199.2601861539674;164.9034664136791;288.1545258666249;171.15234749520963;235.68305697403815
pitch_patient_6829-68769_1580-141083;15;91.07234390447786;94.375589265599;199.48999125704717;161.35114860241512;260.71778719145726;166.75050666907416;221.69716988432668
pitch_patient_6829-68769_1580-141083;17;98.36580986381168;102.54311939588726;187.2445177526781;155.6600973614576;255.6464304204947;162.92774268341068;221.59023940223358
pitch_patient_6829-68769_1580-141083;19;106.4592755067777;110.06799576460605;194.15634575931335;157.4208973102354;279.30583857063306;169.07449483537604;258.3294927281922
pitch_patient_6829-68769_1580-141083;21;116.33075474659674;119.13207708658555;192.19145173313913;169.21986472003678;262.26607145225665;173.68743266215512;248.23754743930306
pitch_patient_6829-68769_1580-141083;23;124.13350837140932;128.42397356321587;189.06231545874755;159.88249657967035;221.95939803615263;165.75426498455542;205.3748576129219
pitch_patient_6829-68769_1580-141083;25;130.53542877705306;134.24471615757201;177.83037350519058;105.77278279026271;295.5220203398914;159.40586283116386;251.13514342150032
pitch_patient_6829-68769_1580-141083;27;140.85013395396516;142.9167352900769;181.32925985948395;159.01912141563596;213.0871431000888;163.6556135858062;198.78237549758867
pitch_patient_6829-68769_1580-141083;29;146.46175746488777;149.47783211094807;186.48284554277458;158.01366037390136;227.2275332640221;162.88388136454543;220.08394469858737
pitch_patient_6829-68769_1580-141083;31;151.64870861679046;157.705932490128;201.89254805028168;146.08767165232075;265.6901498488326;154.62105554087498;225.09715951701764
pitch_patient_6829-68769_1580-141083;33;160.62199083658547;161.83885581508636;299.370509859785;177.32313598353232;418.29857711567337;206.04407224329233;389.60382945819157
pitch_patient_6829-68769_1580-141083;35;164.9289294668737;167.6040990301473;224.2486689013596;179.16795925352673;416.62909409800307;192.47907741514967;311.7508478651244
pitch_patient_6829-68769_1580-141083;36;167.6040990301473;168.66538309815493;210.9864553492712;185.43643732311347;384.0103439945098;186.6801487283163;356.24473180493305
pitch_patient_6829-68769_1580-141083;38;172.04262771500314;173.33234274234465;292.0675179323912;194.89584687501;334.2768070250572;196.31619839795331;319.75232399549674
pitch_patient_6829-68769_1580-141083;40;179.83029230328617;181.95739840669438;279.10201559464684;233.48319328623114;364.5063604544937;241.77835451322835;329.1810084218371
pitch_patient_6829-68769_1580-141083;42;184.4195269738244;186.46986111568208;227.06234218704822;204.57388329622648;309.5864864360713;206.43855779136675;287.7213824056485
